page,text,font_name,font_size,style,color_rgb,color_hex,bbox
24,Prof. Roop Kishore ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(146.69000244140625, 306.9587097167969, 241.12120056152344, 318.1172790527344)"
24,Shastri ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(146.69000244140625, 318.4786682128906, 177.07000732421875, 329.6372375488281)"
24,"Former Secretary, Maharsi Sandeepani Rashtriya Ved ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 306.9587097167969, 485.8299865722656, 318.1172790527344)"
24,"Vidya Pratisthan, Ujjain. ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 318.4786682128906, 351.3799743652344, 329.6372375488281)"
24,10. ,"Times New Roman,Bold",10.08,bold,"(0, 0, 0)",#000000,"(120.05000305175781, 330.71868896484375, 135.0500030517578, 341.87725830078125)"
24,Dr. Suryakant Bali ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(146.69000244140625, 330.47869873046875, 224.62001037597656, 341.63726806640625)"
24,"National Professor, Ex- Editor in chief Navbharata Times  ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(249.4600067138672, 330.47869873046875, 485.1099853515625, 341.63726806640625)"
24,11. Placements,"Times New Roman,Bold",13.92,bold,"(112, 48, 160)",#7030A0,"(72.02400207519531, 369.2972717285156, 160.47122192382812, 384.7066955566406)"
24,S. No ,Times New Roman,10.08,regular,"(255, 255, 255)",#FFFFFF,"(80.42400360107422, 397.6986999511719, 105.7699966430664, 408.8572692871094)"
24,Name ,Times New Roman,10.08,regular,"(255, 255, 255)",#FFFFFF,"(171.42999267578125, 397.6986999511719, 197.7100067138672, 408.8572692871094)"
24,"Designation, Institution and Year ",Times New Roman,10.08,regular,"(255, 255, 255)",#FFFFFF,"(322.67999267578125, 397.6986999511719, 458.4499816894531, 408.8572692871094)"
24,1.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 409.6986999511719, 97.58399963378906, 420.8572692871094)"
24,Dr. Satya Vrat ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(122.44999694824219, 409.9386901855469, 183.07000732421875, 421.0972595214844)"
24,Indian Railway Account Service (2012) ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(255.22000122070312, 409.9386901855469, 417.16998291015625, 421.0972595214844)"
24,2.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 423.6186828613281, 97.58399963378906, 434.7772521972656)"
24,Dr. Ram Chandar ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(122.44999694824219, 423.85870361328125, 195.79000854492188, 435.01727294921875)"
24,"Assistant Professor, University College, Kurukshetra University  ",Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(255.22000122070312, 423.85870361328125, 528.1965942382812, 435.01727294921875)"
24,(2012) ,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(255.22000122070312, 437.0586853027344, 284.3999938964844, 448.2172546386719)"
24,3.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 450.4986877441406, 97.58399963378906, 461.6572570800781)"
24,Dr. Abha Pandey,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 450.7386779785156, 191.78024291992188, 461.8972473144531)"
24,"DSP, Uttar Pradesh (2013)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 450.7386779785156, 362.77008056640625, 461.8972473144531)"
24,4.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 464.1786804199219, 97.58399963378906, 475.3372497558594)"
24,Dr. Piyush Raj,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 464.418701171875, 181.831298828125, 475.5772705078125)"
24,"Raj Bhasha Adhikari, Bank of India  (2013)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 464.418701171875, 430.773193359375, 475.5772705078125)"
24,5.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 477.85870361328125, 97.58399963378906, 489.01727294921875)"
24,Dr. Jwala Prasad,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 478.09869384765625, 190.0364532470703, 489.25726318359375)"
24,"Assistant Registrar, Delhi University (2013)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 478.09869384765625, 432.2147216796875, 489.25726318359375)"
24,6.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 491.5586853027344, 97.58399963378906, 502.7172546386719)"
24,Dr. Daya Shankar Tiwari,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 491.7986755371094, 223.54234313964844, 502.9572448730469)"
24,"Assoicate Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 491.7986755371094, 481.3748779296875, 502.9572448730469)"
24,7.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 505.4786682128906, 97.58399963378906, 516.6372680664062)"
24,Dr. Satya Pal Singh,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 505.7186584472656, 201.31593322753906, 516.8772583007812)"
24,"Assoicate Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 505.7186584472656, 481.47503662109375, 516.8772583007812)"
24,8.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 519.1587524414062, 97.58399963378906, 530.3173217773438)"
24,Dr. Ved Prakash Dindoriya,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 519.3987426757812, 231.71722412109375, 530.5573120117188)"
24,"Assoicate Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 519.3987426757812, 481.3748779296875, 530.5573120117188)"
24,9.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 532.8386840820312, 97.58399963378906, 543.9972534179688)"
24,Dr. Somveer,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 533.0787353515625, 173.30361938476562, 544.2373046875)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 533.0787353515625, 479.1976013183594, 544.2373046875)"
24,10.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 546.5187377929688, 102.6240005493164, 557.6773071289062)"
24,Dr. Mohini Arya,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 546.7587280273438, 189.7340087890625, 557.9172973632812)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 546.7587280273438, 479.4666442871094, 557.9172973632812)"
24,11.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 560.19873046875, 102.6240005493164, 571.3572998046875)"
24,Dr. Karuna Arya,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 560.438720703125, 189.7239532470703, 571.5972900390625)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 560.438720703125, 479.1976013183594, 571.5972900390625)"
24,12.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 574.1487426757812, 102.6240005493164, 585.3073120117188)"
24,Dr. Uma Shankar,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 574.3887329101562, 192.727783203125, 585.5473022460938)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 574.3887329101562, 479.1976013183594, 585.5473022460938)"
24,13.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 587.8287353515625, 102.6240005493164, 598.9873046875)"
24,Dr. Balram Shukla,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 588.0687255859375, 197.89883422851562, 599.227294921875)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 588.0687255859375, 479.1976013183594, 599.227294921875)"
24,14.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 601.5087280273438, 102.6240005493164, 612.6672973632812)"
24,Dr. Subhash Chandra,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 601.7487182617188, 208.45257568359375, 612.9072875976562)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 601.7487182617188, 479.24542236328125, 612.9072875976562)"
24,15.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 615.188720703125, 102.6240005493164, 626.3472900390625)"
24,Dr. Rajiv Ranjan,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 615.4287109375, 190.54043579101562, 626.5872802734375)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 615.4287109375, 479.1976013183594, 626.5872802734375)"
24,16.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 628.8687133789062, 102.6240005493164, 640.0272827148438)"
24,Dr. Avadhesh Pratap Singh,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 629.1087036132812, 231.7877960205078, 640.2672729492188)"
24,"Assistant Professor, Department of Sanskrit, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 629.1087036132812, 479.1976013183594, 640.2672729492188)"
24,17.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 642.5487060546875, 102.6240005493164, 653.707275390625)"
24,Dr. Sarvendra Kumar,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 642.7887573242188, 208.78524780273438, 653.9473266601562)"
24,"Assistant Professor, Deshbandhu College, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 642.7887573242188, 469.54205322265625, 653.9473266601562)"
24,18.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 656.4887084960938, 102.6240005493164, 667.6472778320312)"
24,Dr. Ashish Kumar,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 656.7286987304688, 196.0743408203125, 667.8872680664062)"
24,"Assistant Professor, Deshbandhu College, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 656.7286987304688, 469.3898010253906, 667.8872680664062)"
24,19.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 670.168701171875, 102.6240005493164, 681.3272705078125)"
24,Dr. Anand Kumar,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 670.4087524414062, 194.8848876953125, 681.5673217773438)"
24,"Assistant Professor, Deshbandhu College, DU (2014)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 670.4087524414062, 469.3898010253906, 681.5673217773438)"
24,20.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 683.8486938476562, 102.6240005493164, 695.0072631835938)"
